pattern,status
ACH%,1
ACH Electronic Credit%,1
ACH Electronic Debit%,1
Brokerage Debit%,1
Brokerage Credit%,1
YOU BOUGHT%,1
%DIRECT DEP%,1
%Withdrawal%,1
BILL PENNEY TOYOTA%,1
CREDIT FOR%,1
%PAY DATA%,1
%ASHLEY FUR%,1
BILL PENN%,1
STANDARD OPTICAL%,1
%FREEHOLD%,1
TARGET%,1
Campus Bo%,1
J C BROMAC%,1
J inside%,1
C%&%J%,1
C and J Optical%,1
AARONS SALO%,1
J%C Beauty%,1
POS Debit%,1
CRACKER JAKKS%,1
J C DONUTS%,1
%J%C%CAFE%,1
H J SMOOTHIES%,1
%JC LOCK%,1
C J AVERY%,1
%JOURNEY CHURCH%,1
C J INVEST%,1
OTHER DECREASE%,1
%J CONVEN%,1
%J C CALHOUN%,1
%J C GUY%,1
%J C WIRELES%,1
J C BURNS%,1
J&C CUSTO%,1
D and J Enterpr%,1
%J & JY%,1
%J&J%,1
%ATM%withd%,1
