pattern,status
%BAL XFR%,1
%BILL PENNEY%,1
%J C%BEAUTY%,1
%C J PRODUCTS%,1
%ADJUSTMENT%,1
%J & C ROYAL BEAUTY%,1
%J C TRANSPORTATION%,1
%J & J NEWS%,1
%CARRIE PENNEY%,1
%NORRIS HOME%,1
%TARGET%,1
%C & J FARMS%,1
%C A C OPTICAL%,1
%J J OPTICAL%,1
%J & JY LLC%,1
%CROSS CREEK MALL%,1
BALESTER OPTICAL%,1
J%J%TWINS%,1
C&C AUTO%,1
J INSIDE%,1
%M&J HANDYMAN%,1
D AND J ENTERPRISES%,1
J & J OIL%,1
%MADRID SUECIA%,1
%MALL OPTICAL%,1
J OPTICAL%,1
%sephora%,1
%C%J%CUSTOM%,1
%4611 E MAIN ST%,1
%AMZC EPAY%,1
%atm%,1
%BARCLAYS BANK%,1
%BANK OF AMERICA%,1
%Credit Relation%,1
%C%J%BEAUT%,1
%C J%HALL%,1
%C%J%PRODUCTS%,1
%C MARION%,1
%C%J CLARK%,1
%MARK%SPENCER%,1
%c%j%vaugha%,1
%J & C ITERNATIONAL%,1
%J. C. CAF%,1
%SHANNON OPTICAL%,1
%C and J Optical%,0
%FAIR OAKS%,0
