pattern
"DILLARD.*NUM.*"
"^DEBIT.*DILLARD.*"
"^DILLARD.*PARK.*"
"ACH.*DILLARD.*"
"POS.*DILLARD.*NUM.*"
"^DILLARD.*CHECK.*"
"^DILLARD.*CREDIT.*"
"^DILLARD.*ONLINE.*"
"^CHECK.*DILLARD.*"
"^CARD.*DILLARD.*"
"^CONVERTED.*DILLARD.*"
"^PAYMENT.*DILLARD.*"
"^REVERSAL.*DEBIT.*DILLARD.*NUM.*"
"^DILLARD.*BILL.*PAYM.*"
"^#X{6,12}.*DILLARD.*NUM.*"
"NUM.*DILLARD.*"
"ONLINE.*DILLARD.*NUM.*"
"^DILLARD.*DATE.*"
"PURCHASE.*DILLARD.*"
"DECREASE.*DILLARD.*"
"DILLARD.*X210D4.*"
"AC.*DILLARD.*"
"DILLARD.*DEPT.*BILL.*PAYMENT.*"
"DATE.*DILLARD.*"
"'.*DILLARDS CC.*"
"DILLARD.*STATE"
"DILLARD+S$"
"DILLARD.*X12LD3.*"
".*AM.*EX.*"
".*NATIONAL BANK.*"
".*AMX.*"
".*PAY DEP.*"
".*ATM WITHDRAWAL.*"
".*DILLARD HOUSE.*"
".*DILLARD ST.*"
".*DILLARD RD.*"
".*DILLARD MEDIA.*"
".*DILLARD DENTAL.*"
".*RENO DILLARD.*"
".*DILLARDS COLLEGE.*"
".*SQ.*DILLARD.*"
".*DILLARD UNIV.*"
".*DILLARD MD LLC.*"
".*DILLARD DDS.*"
".*DILLARD.*BBQ.*"
".*DILLARD GA.*"
".*ATM .*"
".*DILLARD-FC"
".*THE DILLARD.*"
".*GECRB.*"
".*GEMB"
".*DRDILLARD.*"
".*DILLARD DIET.*"
".*DILLARDSCOTT"
".*CLEMSON.*"
".*DILLARD RHIGHLANDS.*"
".*DILLARD RO"
".*SOUTH DILLARD.*"
".*DILLARD EYE.*"
".*DILLARD FEED"
".*DILLARD INSURANCE.*"
".*DILLARDS MECHANICAL.*"
".*DILLARDS SPORTING.*"
".*DILLARD CENTER.*"
".*DILLARD CROSSING.*"
".*SYNCHRONY BANK.*"
".*DOLLAR DILLARD.*"
".*FEE.*"
".*DILLARD ACC.*"
".*DILLARD DR.*"
".*CAFE DILLARD.*"
".*WM DILLARD"
"DILLARD$"
".*DILLARDS TOWN.*"
".*AEXPRES.*"
".*DILLARD SALON.*"
".*CHEVRON.*"
".*DILLARD ALARM.*"
".*DILLARD CITGO.*"
".*DILLARD BAIL.*"
".*DILLARDS MARINE.*"
".*DILLARD DOOR.*"
".*DILLARD ALTERATION.*"
".*DILLARDS TROPHY.*"
