Merchant_Name,Source,Merchant_OLTP
IHOP,4MTV75,
"1-800-FLOWERS.COM, Inc.",PT,1-800-FLOWERS.COM
7-Eleven,4MTV11,
99 Cents Only Stores,PT,99 Cents Only Stores
"A.C. Moore Arts & Crafts, Inc.",PT,A.C. Moore
A&P,4MTV206,
Abercrombie & Fitch Co.,PT,Abercrombie & Fitch
Ace Hardware Corporation,4MTV182,
"Acorn International, Inc.",PT,Acorn
ADT Security,4MTV108,
"Advance Auto Parts, Inc.",PT,Advance Auto Parts
"Aeropostale, Inc.",PT,"Aeropostale, Inc."
Albertson's,PT,Albertsons
Albertsons,4MTV40,
ALDI,4MTV116,
"Alticor Inc. / Amway, Quixtar",PT,Amway
Amazon Music/Video,4MTV95,
Amazon.com Kindle,4MTV46,
"Amazon.com, Inc.",PT,Amazon.com
"America's Car-Mart, Inc.",PT,
American Airlines,4MTV199,
"American Eagle Outfitters, Inc.",PT,American Eagle Outfitters
Amoco Corporation,4MTV219,
Ann Taylor Stores Corporation,PT,ANN TAYLOR
Apple Inc. ,PT,Apple Inc
Applebee's,4MTV81,
ARAMARK,4MTV38,
Arco,4MTV208,
Arco's,4MTV56,
"ARI Network Services, Inc.",PT,
Ark Restaurants Corp.,PT,Ark Restaurants Corp.
Army and Air Force Exchange Service (AAFES),PT,AAFES
"Asbury Automotive Group, Inc.",PT,"Asbury Automotive Group, Inc"
AT&T,4MTV15,
Au Bon Pain,4MTV141,
Audi,4MTV235,
"Audible, Inc.",4MTV211,
Auntie Anne's,4MTV180,
"AutoNation, Inc.",PT,
"AutoZone, Inc.",4MTV79,
"AutoZone, Inc.",PT,"AutoZone, Inc."
Bagel Recipes,4MTV178,
"Bakers Footwear Group, Inc.",PT,Bakers
Banana Republic,4MTV127,
"Barnes & Noble, Inc.",PT,Barnes & Noble
Baskin-Robbins,4MTV212,
Bass Pro Shops,PT,Bass Pro Shops
Bed Bath & Beyond Inc.,PT,Bed Bath & Beyond Inc
"Belk, Inc.",PT,Belk
Benetton Group S.p.A.,PT,United Colors of Benetton
Benihana Inc.,PT,Benihana
"Best Buy Co., Inc.",PT,Best Buy
"Bestway, Inc.",PT,BESTWAY
"Bidz.com, Inc.",PT,BIDZ.COM
Big 5 Sporting Goods Corporation,PT,Big 5 Sporting Goods
"Big Lots, Inc.",PT,Big Lots
"Bill Me Later, Inc.",4MTV210,
Bill Miller Bar-B-Q,4MTV205,
Birks & Mayors Inc.,PT,Birks
"BJ's Restaurants, Inc.",PT,BJ's Restaurants
"BJ?s Wholesale Club, Inc.",PT,"BJ's Wholesale Club, Inc"
"Blockbuster, Inc.",PT,Blockbuster.com
Bloomingdale's,4MTV148,
"Blue Holdings, Inc.",PT,
"Blue Nile, Inc.",PT,Blue Nile
Blue Square - Israel Ltd.,PT,
"Bluefly, Inc.",PT,Bluefly
BMW,4MTV227,
"Bob Evans Farms, Inc.",PT,"Bob Evans Farms, Inc."
Bojangles,4MTV197,
"Books-A-Million, Inc.",PT,"Books-A-Million, Inc"
"Borders Group, Inc.",PT,"Borders Group, Inc"
"Bowlin Travel Centers, Inc.",PT,
Brazil Fast Food Corp.,PT,
"Brinker International, Inc.",PT,Brinker International
Brookshire's,4MTV218,
"Buffalo Wild Wings, Inc.",PT,Buffalo Wild Wings
"Build-A-Bear Workshop, Inc.",PT,Build-A-Bear Workshop
"Builders FirstSource, Inc.",PT,
Building Materials Holding Corporation,PT,
Burger King Corporation,4MTV22,
"Burger King Holdings, Inc.",PT,Burger King Corporation
Burlington Coat Factory Investments Holdings Inc.,PT,Burlington Coat Factory
Cabela's Incorporated,PT,Cabela's
Cablevision,4MTV89,
"Cache, Inc.",PT,
"California Pizza Kitchen, Inc.",PT,"California Pizza Kitchen, Inc"
"Calloway's Nursery, Inc.",PT,Calloway?s Nursery
"Canteen of Coastal California, Inc",4MTV223,
Carl's Jr,4MTV91,
"CarMax, Inc.",PT,CarMax
"Carrols Restaurant Group, Inc.",PT,"Carrols Restaurant Group, Inc."
"Casey?s General Stores, Inc.",PT,Casey's General Stores
"Casual Male Retail Group, Inc.",PT,CASUAL MALE XL
"CEC Entertainment, Inc.",PT,"CEC Entertainment, Inc."
"Charlotte Russe Holding, Inc.",PT,Charlotte Russe
"Charming Shoppes, Inc.",PT,Charming Shoppes Inc
Charter Communications,4MTV185,
Chevron,4MTV16,
Chick -Fil-A,4MTV110,
Chick-fil-A,4MTV24,
"Chico's FAS, Inc.",PT,Chico's
Chili's,4MTV70,
China Nepstar Chain Drugstore Ltd.,PT,
"Chipotle Mexican Grill, Inc.",PT,"Chipotle Mexican Grill, Inc."
Christopher & Banks Corporation,PT,Christopher & Banks
"Cinemark USA, Inc.",4MTV120,
Circle K,4MTV43,
"Circuit City Stores, Inc.",PT,CircuitCity.com
CITGO,4MTV125,
"Citi Trends, Inc.",PT,CitiTrends.
"CKE Restaurants, Inc.",PT,
Coach,PT,
Coconut Grove in,4MTV238,
COLD STONE,4MTV190,
"Coldwater Creek, Inc.",PT,Coldwater Creek
"Collective Brands, Inc.",PT,
Comcast,4MTV33,
Commonwealth Edison,4MTV160,
Con Edison,4MTV51,
"Conn's, Inc.",PT,
"Copart, Inc.",PT,"Copart, Inc"
"Cost Plus, Inc.",PT,"Cost Plus, Inc."
Costco Gas,4MTV60,
Costco Wholesale Corporation,PT,Costco Wholesale
"Cracker Barrel Old Country Store, Inc.",PT,Cracker Barrel
CVS Caremark Corporation,PT,CVS Pharmacy
CVS/pharmacy,4MTV10,
Dairy Queen,4MTV74,
"Darden Restaurants, Inc.",PT,"Darden Restaurants, Inc."
Deckers Outdoor Corporation,4MTV3,
Defense Commissary Agency (DECA),PT,
Del Taco LLC,4MTV146,
"dELiA*s, Inc.",PT,
Dell Inc.,PT,Dell Inc
Denny's Corporation,PT,Denny's Restaurant
"Design Within Reach, Inc.",PT,Design Within Reach
Destination Maternity Corporation,PT,Destination Maternity
DFAS,4MTV34,
"DGSE Companies, Inc.",PT,
Diamond Shamrock Corporation,4MTV186,
Diapers.com,4MTV4,
"Dick?s Sporting Goods, Inc.",PT,Dick's Sporting Goods
Dicks Clothing & Sporting Goods Store,4MTV177,
"Diedrich Coffee, Inc.",PT,Diedrich Coffee
"Dillard's, Inc.",PT,"Dillard's, Inc"
"DineEquity, Inc.",PT,"DineEquity, Inc"
"DineWise, Inc.",PT,
DIRECTV,4MTV52,
Dish Network,4MTV101,
DMV,4MTV163,
Dollar General Corporation,PT,Dollar General Store
"Dollar Tree Stores, Inc.",PT,"Dollar Tree, Inc."
Dominick's,4MTV164,
Dominion Virginia Power,4MTV153,
"Domino's Pizza, Inc.",PT,Domino's Pizza
"Dover Saddlery, Inc.",PT,Dover Saddlery
"Dreams, Inc.",PT,Dreams Plc
DSW Inc.,PT,DSW Inc
Duanereade,4MTV53,
"Duckwall-ALCO Stores, Inc.",PT,
Dunkin Donuts/Baskin Robbins,4MTV100,
Dunkin' Donuts,4MTV17,
E-ZPass,4MTV72,
Eat At Joe's Ltd.,PT,Eat At Joe's Ltd.
eBay Inc.,PT,eBay Inc.
"Einstein Noah Restaurant Group, Inc.",PT,Einsteines Noah's Bagels Corp
Equifax,4MTV228,
Expedia,4MTV6,
Experian,4MTV50,
Express,4MTV55,
ExxonMobil,4MTV13,
"Facebook, Inc.",4MTV134,
Family Dollar stores,4MTV90,
"Family Dollar Stores, Inc.",PT,Family Dollar stores
"Famous Dave's of America, Inc.",PT,Famous Dave's
Fandango,4MTV192,
Farm Fresh,4MTV214,
FedEx,4MTV84,
"Ferrellgas Partners, L.P.",PT,Ferrellgas
FID Banking Service,4MTV215,
"Finlay Enterprises, Inc.",PT,
Five Guys Inc.,4MTV98,
"Flanigan's Enterprises, Inc.",PT,Flanigan's
FOOD 4 LESS,4MTV138,
Food Lion,4MTV41,
"Foot Locker, Inc.",PT,Foot Locker
Forever 21,4MTV117,
Francescas Collections,4MTV7,
Fred Meyer Stores,4MTV85,
"Fred's, Inc.",PT,FRED'S
Fresh & Easy Neighborhood Market,4MTV166,
"Frisch's Restaurants, Inc.",PT,"Frischs Restaurants, Inc."
Fry's Electronics,4MTV213,
Fry's Food and Drug Store,4MTV158,
"Gaiam, Inc.",PT,Gaiam
"Gallery of History, Inc.",PT,
GameStop Corp.,PT,GameStop
Gander Mountain Company,PT,Gander Mountain
