Word	FREQ
DILLARDS	1438351
XXXXX	1257161
0	627672
XXXXXXXXXXXXXXXX	603539
0066	474438
PURCHASE	409915
TX	366736
S	343921
DILLARD	309249
CHECKCARD	300790
FL	138701
0079	125873
POS	109380
CO	107754
SAN	105928
EPAY	102519
DIL	102133
ANTONIO	94980
XXXXXXX	78594
GA	76998
C	72203
ONLINE	71562
PMT	71337
REF	68329
CC	67279
LA	61492
FOR	61366
TN	60527
AZ	60428
Dillards	58499
KILLEEN	55095
CARD	54922
CHECK	53994
OH	53005
Debit	48492
XXX	47385
AL	44680
POSXXXXX	42145
Purchase	41824
N	41100
OK	40095
CA	40003
DEBIT	38248
PIN	35556
POSXXXXXXXX	35206
DUAL	35168
AR	34605
KY	33974
698	33625
VA	33566
XXXXXXXXXXXXXXX	31450
ACH	29638
P	29526
COLORADO	29124
PARK	28645
NO	27559
CHECKPAYMT	27549
EL	26813
KS	26458
CHK	26279
0065	26165
XXXXXXXXX	25938
PASO	25794
NC	25144
NM	24914
Amx	24659
T	24651
AMX	24333
D	24114
XXXX	23842
CKFXXXXXXXXXPOS	22644
CLARKSVILLE	22509
WEBSINGLE	22468
SC	22209
Card	21422
MO	21175
M	20814
NORTH	20788
TUCSON	19674
LOUISVILLE	19358
COLUMBUS	19308
ST	18953
XXXXXX	17749
0732	17236
CITY	17068
MANHATTAN	16946
HOUSTON	16426
XXXXXXXXXXXXXXXXX	16299
LITTLE	15965
OKLAHOMA	15826
WICHITA	15782
MALL	15708
MS	15348
SIERRA	15241
CINCINNATI	14910
AUSTIN	14873
LAWTON	14842
JACKSONVILLE	14440
CIT	14334
AUGUSTA	14270
0721	14247
BRANDON	14118
NV	14096
721	13902
LAS	13797
0720	13718
THE	13599
SPR	13282
FORT	13079
039	13014
MAL	13001
DILTELPAY	12934
0241	12834
ABILENE	12821
DDS	12635
PANAMA	12534
CEDAR	12440
STAR	12436
12	12250
ATLANTA	11946
PENSACOLA	11909
0727	11893
B	11772
TEMPLE	11622
CANTERA	11555
SAVANNAH	11434
PAR	11422
VISTA	11409
ID	11181
MONTGOMERY	11154
CLOVIS	10949
0726	10880
ALBUQUERQUE	10684
MA	10612
PYMT	10522
NORFOLK	10486
720	10407
SPG	10402
FAIRVIEW	10312
WORTH	10214
TDEBIT	9895
MARY	9860
HUNTSVILLE	9738
GLENDALE	9311
0704	9276
IN	9250
LUBBOCK	9207
0418	9132
COLUMBIA	8941
W	8788
0275	8530
Check	8526
ROCK	8516
BOSSIER	8477
BEACH	8455
Payment	8435
WACO	8413
CORPUS	8366
DALLAS	8363
ANGELO	8342
H	8310
MOBILE	8305
ODESSA	8261
ESTER	8248
VEGAS	8241
01	8236
OAK	8183
Visa	8135
PLANO	8101
RICHMOND	8057
GOVNOR	8054
023	8050
0230	8017
0716	8014
MIDLAND	8000
CITADEL	7950
PEACHTREE	7890
HURST	7825
NORMAN	7754
LAKE	7732
NEWPORT	7670
0242	7661
0426	7657
NEWS	7590
A	7532
0924	7470
OF	7470
0914	7429
BATON	7280
ARLINGTON	7275
0744	7265
R	7257
LITTLETON	7254
0786	7221
0770	7183
BEACHWOOD	7116
0239	7094
FRISCO	7064
TULSA	7045
TAMPA	7016
0729	7001
CHARLESTON	6995
F	6976
0907	6920
0993	6838
ROUGE	6833
0460	6785
11	6762
02	6731
ROC	6676
G	6648
CT	6638
0701	6637
SANTA	6615
I	6607
FALL	6573
0722	6532
NASHVILLE	6477
WOODLANDS	6462
ROLLING	6454
0714	6438
CHAPEL	6437
CHARLOTTE	6326
HILL	6310
HIL	6285
0733	6268
03	6262
CRUCES	6241
L	6222
CHRST	6211
037	6188
INTERNATIONA	6179
ORANGE	6136
0719	6109
ROSA	6100
TOWNE	6039
08	6037
CRESTVIEW	6026
OA	6002
DIREC	5984
IL	5934
036	5910
FRIENDSWOOD	5820
BILOXI	5819
UT	5807
0728	5788
LEXINGTON	5755
0746	5644
0723	5627
TYLER	5625
PHOENIX	5617
05	5601
0783	5590
MELBOURNE	5541
0718	5539
TOPEKA	5531
DIRE	5525
PLAZA	5519
DOTHAN	5515
0730	5497
0919	5487
723	5484
LEWISVILLE	5463
07	5426
0915	5423
0711	5404
MCALLEN	5403
0335	5401
SPRICO	5387
CORDOVA	5385
SHREVEPORT	5381
TALLAHASSEE	5352
0738	5330
06	5329
V	5300
0994	5290
NE	5268
FRANKLIN	5263
04	5229
0246	5205
INGRAM	5205
09	5161
0779	5145
351	5141
LOUIS	5119
0926	5107
0731	5099
MEMPHIS	5084
O	5080
YUMA	5019
CHANDLER	5013
AMARILLO	5007
HULEN	4992
024	4953
0735	4948
K	4934
STAT	4910
AUBURN	4901
BEAC	4846
020	4842
SQ	4823
ALEXANDRIA	4813
ON	4778
0417	4758
13	4736
CHESAPEAKE	4725
ORLANDO	4706
COLLEGE	4673
COL	4671
HENDERSON	4665
BARTON	4659
0743	4653
METARIE	4620
KENWOOD	4605
ARROWHEAD	4589
KANSAS	4586
VST	4564
10	4561
0775	4559
ENID	4557
355	4550
026	4535
XXXXXXXXXX	4523
722	4518
BEE	4505
HGT	4497
PENN	4475
0274	4448
MACON	4431
LAREDO	4424
0799	4356
STJOHNS	4354
0771	4311
0742	4296
CITYOK	4287
0774	4282
BEAUMONT	4281
0233	4271
0705	4268
WEST	4257
030	4239
732	4205
0708	4197
391	4188
DA	4156
5311	4155
E	4107
0747	4103
MESA	4098
0267	4094
WESLEY	4084
PADRE	4048
WIREGRASS	4037
FASHION	4036
OVERLAND	4029
POST	4027
DAYTONA	4015
ALPHARETTA	4007
DES	3987
GILBERT	3982
365	3956
FT	3954
GREAT	3948
0715	3939
BEL	3910
0921	3898
AKRON	3894
0204	3880
0712	3873
7POS	3864
JENSEN	3862
CLEARWATER	3849
14	3839
TW	3835
0796	3828
GARLAND	3822
0734	3803
XXXXXXXXXXXXXXXXXXXXXXX	3802
6POS	3798
NORTHEAST	3777
POINT	3776
SALE	3756
OMAHA	3750
0777	3748
0745	3743
AIR	3743
HUMBLE	3731
IA	3726
SQUAR	3717
8POS	3712
MESQUITE	3706
038	3701
1POS	3701
CRESTVIE	3699
PL	3681
VIRGINIABEAC	3671
LONGVIEW	3655
0780	3647
9POS	3646
SUNLAND	3643
CAVE	3641
CRD	3627
5POS	3625
CHAPE	3621
DENTON	3613
WITHDRAWAL	3605
0170	3597
0POS	3589
LAKELINE	3583
ALTAMONTE	3563
NEWNAN	3563
3POS	3540
CRK	3534
TOLEDO	3533
0920	3531
PARKWAY	3515
0736	3507
WELLINGTON	3499
275	3492
0717	3480
EASTCHASE	3473
PAYMENT	3458
0277	3451
VIL	3444
MCCAIN	3442
MIDLANDMIDLAND	3435
0407	3430
2POS	3421
PEARLAND	3400
BUFORD	3360
4POS	3352
994	3351
GRETNA	3339
EAST	3328
CTY	3327
PARKS	3309
BOISE	3305
SPRINGFIELD	3302
BAYBROOK	3289
CARY	3278
MCARTHUR	3271
170	3265
LAFAYETTE	3258
035	3256
PR	3237
CHARLES	3234
BOARDMAN	3233
0741	3229
MCC	3229
0405	3224
SANFORD	3214
BEACHWOO	3180
DAPHNE	3176
PEMBROKE	3168
ALBANY	3159
877	3150
272	3145
SOUTHAVEN	3139
770	3137
0904	3126
STAP	3125
15	3107
BROOMFIELD	3100
0910	3085
981	3071
796	3058
041	3043
716	3039
SOUTH	3028
NORTHPARK	3002
AT	2997
Withdrawal	2979
0416	2950
0201	2947
DOMAIN	2945
735	2941
RIDGELAND	2937
ROGERS	2927
CANTON	2922
0908	2916
GREENVILLE	2915
RALEIGH	2911
KNOXVILLE	2906
022	2901
727	2896
WILMINGTON	2896
ASHEVILLE	2891
MONROE	2887
UPTOWN	2884
DOUGLASVILLE	2882
CHEYENNE	2881
MAUMEE	2877
0749	2874
0758	2867
0981	2861
PORT	2859
WY	2855
SCOTTSDALE	2832
TXDEBIT	2806
CONVERTED	2785
367	2780
0768	2776
025	2774
0248	2768
SUGARLAND	2755
OXFORD	2749
0902	2748
0265	2731
0760	2727
MEMORIAL	2722
IRVING	2709
0433	2700
WOOD	2692
PAT	2691
0960	2686
418	2676
INTERNTL	2655
0925	2652
ALB	2646
733	2629
COLUMBIANA	2627
719	2620
0174	2618
0232	2614
INDN	2608
0164	2605
HATTIESBURG	2592
TXXXXXXX	2587
FAYETTEVILLE	2574
SHOPS	2540
242	2539
II	2539
LAKESIDE	2533
0909	2529
23	2517
174	2515
HENRY	2499
Bill	2497
0787	2494
0243	2487
VINCEN	2486
WILLOW	2483
0505	2472
993	2468
241	2443
0432	2440
EDGEWATER	2437
718	2435
LITHONIA	2434
0330	2418
ANTODEBIT	2412
WEB	2403
OLMST	2394
21	2386
704	2384
WINRO	2383
0942	2373
TEXARKANA	2367
BOWLING	2354
ATLANTICST	2353
SP	2350
MENTOR	2341
0709	2324
QUAIL	2316
SLIDELL	2316
COLLIERVILLE	2303
701	2302
VICTORIA	2301
364	2300
GOVERNRS	2295
0944	2293
014	2276
BROWNSVILLE	2274
SQR	2271
CHATTANOOGA	2248
VERO	2245
24	2241
PALMDALE	2239
22	2228
738	2224
GECRB	2220
VILLAGE	2217
XXXXXXXX	2217
RIVER	2207
371	2206
STONEBRIAR	2204
SANTAN	2197
20	2175
SMITH	2174
SUMMIT	2169
CHESTERFIELD	2166
16	2161
XXXXXXXXXXX	2157
777	2152
0264	2150
230	2147
PETERSBUR	2145
0162	2144
0514	2143
19	2143
PRESCOTT	2143
SUGAR	2143
015	2126
726	2110
779	2110
18	2109
426	2103
0798	2102
26	2099
FE	2098
HARLINGEN	2098
731	2094
FLAGSTAFF	2091
0748	2089
CLAIR	2089
AURORA	2087
0784	2059
MT	2058
ZONA	2058
FAYETTE	2056
STACOLLEGE	2055
774	2052
RENO	2049
FIREWHEEL	2043
736	2042
PUEBLO	2038
COTTONWOOD	2036
0268	2033
PIER	2030
PERIMETER	2024
0247	2023
NORTHOLMSTEA	2023
SOUTHPAR	2023
730	2014
0795	2000
STRONGSVILL	1999
0941	1997
ABILENEABILENE	1995
0306	1992
MYRTLE	1992
374	1989
SHORT	1986
SARASOTA	1974
OVIEDO	1971
0391	1969
17	1968
017	1967
DEERBROOK	1966
714	1961
MURFREESBORO	1955
171	1949
734	1941
STRONGSVILLE	1940
799	1936
VIRGINIA	1926
PINEVILLE	1922
775	1917
SPRN	1910
28	1905
27	1903
MATTHEW	1894
GREE	1892
ATM	1890
711	1880
NAPLES	1879
TOW	1877
051	1867
RIDGMAR	1867
GOODLETTSVIL	1865
DEL	1861
0740	1856
CROS	1850
MEADO	1849
TOWN	1844
Dillard	1840
BILL	1823
AVENUES	1822
0792	1815
0171	1806
504	1806
HOT	1802
WOODLAND	1788
FARMINGTON	1779
717	1770
783	1770
387	1765
071	1762
798	1762
771	1761
LYNNHAVEN	1758
FLUS	1755
PXXXXXX	1754
792	1751
0324	1749
WOODL	1749
795	1745
376	1743
GREENSBORO	1743
TRICOUN	1740
746	1727
WICHITAWICHITA	1713
HAMMOND	1709
OGDEN	1704
SOUTHERN	1699
BEN	1692
0453	1689
0766	1689
0778	1680
BEACVA	1678
30	1677
0208	1673
VIS	1672
29	1667
CITRUS	1662
0253	1661
PARADISE	1660
XXXXX2601	1658
0767	1657
204	1657
0336	1650
924	1648
LAUDERDAL	1637
s	1634
To	1629
PAY	1620
MARKET	1618
WILLOWBROO	1618
GAINESVILLE	1617
460	1612
Q	1612
PUMP	1611
728	1610
WOODDEBIT	1610
SHOPPES	1605
786	1604
0506	1598
0911	1592
NASHVILLDEBIT	1592
OCALA	1591
GALLERIA	1586
172	1582
0419	1577
0934	1577
267	1575
378	1574
0176	1571
HOUMA	1571
CHRISTTX	1569
GREENBRIER	1567
0918	1540
0511	1536
ATLANT	1536
STA	1536
239	1534
CLEMSON	1534
Online	1534
356	1533
Transaction	1527
GREEN	1526
PRIEN	1524
ANDERSON	1523
914	1522
25	1521
INDEPENDEN	1514
SPANISH	1513
JEFFERSON	1512
0260	1510
MONTGOMEDEBIT	1509
XXXXXXXXXXXX	1508
0436	1505
246	1504
HI	1504
907	1501
OAKS	1501
PINE	1501
016	1497
COOLSPRING	1492
MURRAY	1492
0411	1490
0425	1488
0234	1487
0322	1487
PA	1487
0794	1486
0172	1481
0314	1478
