Word,FREQ
"a",1
"Abbeville",1
"Acadia",1
"Accomack",1
"Ada",1
"Adair",4
"Adams",12
"Addison",1
"Adjuntas",1
"Aguada",1
"Aguadilla",1
"Aguas",1
"Aibonito",1
"Aiken",1
"Aitkin",1
"Alachua",1
"Alamance",1
"Alameda",1
"Alamos",1
"Alamosa",1
"Albany",2
"Albemarle",1
"Alcona",1
"Alcorn",1
"Aleutians",2
"Alexander",2
"Alexandria",1
"Alfalfa",1
"Alger",1
"Allamakee",1
"Allegan",1
"Allegany",2
"Alleghany",2
"Allegheny",1
"Allen",5
"Allendale",1
"Alpena",1
"Alpine",1
"Alta",2
"Alto",2
"Amador",1
"Amelia",1
"Amherst",1
"Amite",1
"Ana",1
"Anasco",1
"Anchorage",1
"and",7
"Anderson",5
"Andrew",1
"Andrews",1
"Androscoggin",1
"Angeles",1
"Angelina",1
"Angoon",1
"Animas",1
"Anne",2
"Anoka",1
"Anson",1
"Antelope",1
"Antrim",1
"Apache",1
"Appanoose",1
"Appling",1
"Appomattox",1
"Aransas",1
"Arapahoe",1
"Archer",1
"Archuleta",1
"Arctic",1
"Area",11
"Arecibo",1
"Arenac",1
"Arkansas",1
"Arlington",1
"Armstrong",2
"Aroostook",1
"Arriba",1
"Arroyo",1
"Arthur",1
"Arundel",1
"Ascension",1
"Ashe",1
"Ashland",2
"Ashley",1
"Ashtabula",1
"Asotin",1
"Assumption",1
"Atascosa",1
"Atchison",2
"Athens",1
"Atkinson",1
"Atlantic",1
"Atoka",1
"Attala",1
"Audrain",1
"Audubon",1
"Auglaize",1
"Augusta",1
"Augustine",1
"Aurora",1
"Austin",1
"Autauga",1
"Avery",1
"Avoyelles",1
"Baca",2
"Bacon",1
"Bailey",1
"Baja",2
"Baker",3
"Baldwin",2
"Ballard",1
"Baltimore",2
"Bamberg",1
"Bandera",1
"Banks",1
"Banner",1
"Bannock",1
"Baptist",1
"Baraga",1
"Barbara",1
"Barber",1
"Barbour",2
"Barceloneta",1
"Barnes",1
"Barnstable",1
"Barnwell",1
"Barranquitas",1
"Barren",1
"Barron",1
"Barrow",1
"Barry",2
"Bartholomew",1
"Barton",2
"Bartow",1
"Basin",1
"Bastrop",1
"Bates",1
"Bath",2
"Baton",2
"Baxter",1
"Bay",3
"Bayamon",1
"Bayfield",1
"Baylor",1
"Beach",2
"Beadle",1
"Bear",1
"Beaufort",2
"Beauregard",1
"Beaver",3
"Beaverhead",1
"Becker",1
"Beckham",1
"Bedford",4
"Bee",1
"Belknap",1
"Bell",2
"Belmont",1
"Beltrami",1
"Ben",1
"Bend",1
"Benewah",1
"Benito",1
"Bennett",1
"Bennington",1
"Benson",1
"Bent",1
"Benton",9
"Benzie",1
"Bergen",1
"Berkeley",2
"Berks",1
"Berkshire",1
"Bernalillo",1
"Bernard",1
"Bernardino",1
"Berrien",2
"Bertie",1
"Bethel",1
"Bexar",1
"Bibb",2
"Bienville",1
"Big",3
"Billings",1
"Bingham",1
"Black",1
"Blackford",1
"Bladen",1
"Blaine",4
"Blair",1
"Blanco",2
"Bland",1
"Bleckley",1
"Bledsoe",1
"Blount",2
"Blue",1
"Bluff",1
"Boise",1
"Bolivar",1
"Bollinger",1
"Bon",1
"Bond",1
"Bonner",1
"Bonneville",1
"Boone",8
"Borden",1
"Borough",16
"Bosque",1
"Bossier",1
"Botetourt",1
"Bottineau",1
"Boulder",1
"Boundary",1
"Bourbon",2
"Bow",1
"Bowie",1
"Bowman",1
"Box",2
"Boyd",2
"Boyle",1
"Bracken",1
"Bradford",2
"Bradley",2
"Branch",1
"Brantley",1
"Braxton",1
"Brazoria",1
"Brazos",1
"Breathitt",1
"Breckinridge",1
"Bremer",1
"Brevard",1
"Brewster",1
"Brien",1
"Briscoe",1
"Bristol",4
"Broadwater",1
"Bronx",1
"Brooke",1
"Brookings",1
"Brooks",2
"Broome",1
"Broomfield",1
"Broward",1
"Brown",9
"Brule",1
"Brunswick",2
"Bryan",2
"Buchanan",3
"Buckingham",1
"Bucks",1
"Buena",2
"Buenas",1
"Buffalo",3
"Bullitt",1
"Bulloch",1
"Bullock",1
"Buncombe",1
"Bureau",1
"Buren",4
"Burke",3
"Burleigh",1
"Burleson",1
"Burlington",1
"Burnet",1
"Burnett",1
"Burt",1
"Butler",8
"Butte",4
"Butts",1
"Cabarrus",1
"Cabell",1
"Cabo",1
"Cache",1
"Caddo",2
"Caguas",1
"Calaveras",1
"Calcasieu",1
"Caldwell",5
"Caledonia",1
"Calhoun",11
"Callahan",1
"Callaway",1
"Calloway",1
"Calumet",1
"Calvert",1
"Camas",1
"Cambria",1
"Camden",4
"Cameron",3
"Camp",1
"Campbell",5
"Camuy",1
"Canadian",1
"Candler",1
"Cannon",1
"Canovanas",1
"Canyon",1
"Cape",2
"Carbon",4
"Caribou",1
"Carlisle",1
"Carlton",1
"Carolina",1
"Caroline",2
"Carroll",15
"Carson",3
"Carter",5
"Carteret",1
"Carver",1
"Cascade",1
